parallax,phot_g_mean_mag,bp_rp
100.5552800669169,12.936422,3.5547886
100.52427049433877,9.123367,2.281682
100.3966028700123,11.106811,2.6195107
100.31097867293174,14.843737,4.7969637
100.14654474186186,11.529306,2.9684
100.02319547433648,8.878268,1.953599
99.79477183154232,11.167263,2.887002
99.59015235307109,5.4103966,0.9710283
99.55846603469661,10.524281,2.6460657
99.52312935819627,12.611962,3.416603
99.46190936732785,11.5485115,2.9841099
99.3324946213853,6.169921,1.2205868
99.18457214897477,11.374842,2.8627243
99.16495239927531,11.792696,3.1021366
98.84898531472099,9.00723,2.3489285
98.84390060325413,8.53296,1.9844632
98.2979742730708,6.5786986,1.3511114
98.23463281195772,12.219813,3.0363703
97.9157940060883,4.9001403,0.88797426
97.8867754269512,11.174757,2.7102785
97.80907593742921,12.107826,3.092661
97.67621438764235,12.067119,3.0962744
97.66080942310745,11.5579195,2.9445057
97.65983988560811,11.496225,3.0002317
97.4489959770632,15.555148,4.863043
97.34496900005604,13.782189,0.4155779
97.31851018481419,14.925671,4.538398
97.24179738400261,11.950281,3.1184711
96.7355313539234,13.68886,3.9345303
96.52004136143886,5.8122654,1.0603094
96.33615242325035,12.299438,3.2655478
96.23334220914137,8.823617,2.1124458
96.20217792766617,15.267816,4.8736753
96.18335870347249,11.409583,-0.17495728
95.95746561284176,8.863359,2.1136289
95.93197430133851,11.066227,3.0009775
95.90170123713744,12.738089,0.29466438
95.69817587266935,8.680594,2.0229344
95.66344173957205,10.61079,2.5610094
95.56697122169996,7.2647023,1.4639621
95.5597040061285,9.177887,2.173296
95.5222210669127,13.658261,3.8146534
95.51988583926105,12.399279,3.225584
95.47592246851744,11.763151,3.071765
95.21691603206115,13.714347,3.8149729
95.1783951524141,10.972157,2.5618935
95.17577811152343,12.253493,0.03678894
95.16060614858952,9.205841,2.1157284
95.04771290601064,8.231167,1.9278102
94.97013378459856,9.846085,2.3375616
94.71129648160505,12.701375,3.3474207
94.62252050825498,16.349545,4.850895
94.56366650017529,8.403359,1.9671941
94.54120718732504,3.9026392,0.78206515
94.39897902110629,11.934466,3.0468884
94.36672394942809,10.35875,2.8175402
94.3572802841624,14.07837,4.0794888
94.30540423531323,14.606592,4.8214226
94.26635965165642,10.605513,2.503687
94.21999921776138,12.026921,2.8679056
94.2155945025608,10.965031,2.5387125
94.1928882005881,11.257279,2.5976286
94.06735403613871,13.380432,3.662386
93.87899660952739,11.477593,2.8601532
93.87490923219482,12.005642,2.9934807
93.85471265143892,7.822748,1.8053689
93.74305337655306,10.387828,2.5234385
93.67197325627788,15.077436,1.1778765
92.98565081391038,10.147985,2.680606
92.95830529602016,11.458686,3.128108
92.92837858868671,10.248216,2.6810598
92.92514044230325,5.893562,1.0134335
92.89848935019698,9.618664,2.4826574
