phot_g_mean_mag,parallax,bp_rp
11.558193,28.655097574772643,2.1583538
14.004919,6.464299844661203,1.8926105
13.068455,6.6073758084007155,1.5363188
13.016776,7.539490301766091,1.5417976
18.09823,7.2073324418767974,3.4829693
14.669673,5.555622498432148,1.9480114
16.518677,5.349520386543563,2.5975437
17.007973,7.061648637998161,2.8680248
13.0847845,7.139503309147541,1.4515753
16.825289,5.409290873117861,2.6638985
17.828732,5.953217792278136,3.1397533
10.488571,8.760838448854285,0.97423744
16.75862,6.143165655137218,2.8042812
14.896375,30.237571247360513,3.0932827
15.881916,6.509348236568714,2.6291656
18.399916,5.123368365981056,2.988676
14.929026,5.966644426012003,2.291502
16.329304,9.311765161729147,2.8257885
15.442521,8.273473132089505,2.4937782
17.3835,5.5938209928317555,3.1797047
9.500635,5.95003956029259,1.2619343
18.003359,7.339332687131688,0.50969505
15.783073,9.477066545065524,3.039053
13.177703,6.689550399130437,1.6090307
12.572909,10.004670267697032,1.6706762
12.695949,5.273498661561051,1.234025
18.708723,8.155640062893573,3.5227566
12.286554,5.811739273275705,1.1400385
16.70176,10.721267993947414,3.1603909
8.154951,33.80180220307422,1.0706201
9.943755,6.3177166459372955,0.7009325
17.29762,8.37195143507476,3.1466312
15.349334,5.3945167285387114,2.2089233
11.779056,5.657692412994643,0.96071243
16.657488,7.2812688503385035,2.7983246
15.62549,5.090367302456071,2.2064905
17.487623,5.474371201582493,2.890625
11.938212,5.752630869520138,1.0681038
17.289547,5.439523002072912,3.1422758
19.635092,27.73145443252127,-0.0033626556
16.668995,6.870419915339856,2.7115784
15.890463,5.442620258350429,2.4270687
17.247515,5.192637636836551,2.8257694
14.984456,7.89767156528344,2.1825457
16.773933,5.029937670203716,2.5402117
18.143892,5.632728153858903,3.0654545
17.53245,5.340899618702244,3.1574402
16.94673,5.821948965259662,2.8257647
14.54902,7.929761818607479,2.0291948
17.339577,5.34876854718749,2.548542
6.180693,7.2161531029485575,0.24490261
13.058341,8.245231209580675,1.6968307
17.731005,9.453085754004576,3.4407673
18.966877,9.951812444212027,3.077448
9.707102,6.639557849419204,0.67542744
19.204956,6.1330367450570895,3.298767
17.37917,9.02956547133758,3.0431385
14.104698,8.335330994206162,2.072095
13.125233,11.512914132938484,2.135067
